Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Ivy,IVY-1160,Add command line support for installing projects from one repository to another.,Wish,Open,Minor,Unresolved,Unassigned,Ignacio de Lucas Rodrigo,Ignacio de Lucas Rodrigo,1/11/2010 8:22,,1/11/2010 8:22,,2.3.0-RC1,,Core,,0,1,,,,,,,,,"When using Ivy from Ant, there is a task that allows to install a project from one repository to another (this is most often used to ""download"" projects from an online repository to an enterprise, shared or local one). This can't be done when using Ivy in standalone mode: there is no command line option for it. Request that support for this is added.",,,,,,,,,,,,"7 years, 27 weeks ago",,140767,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245760,,,,,,,,0|i16g7z:
Ivy,IVY-1161,Add command line support for report generating,Wish,Open,Trivial,Unresolved,Unassigned,Ignacio de Lucas Rodrigo,Ignacio de Lucas Rodrigo,1/11/2010 8:25,,12/10/2016 5:38,,2.3.0-RC1,,Core,,0,3,,,,,,,,,"When using Ivy from Ant, there is a task that allows to generate a dependency report from a repository, either in the form of an XML file or a graph in graphml format. This can't be done when using Ivy in standalone mode: there is no command line option for it. Request that support for this is added.",,,,,,,,12/9/2016 9:40,,,,"30 weeks, 2 days ago",,140768,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245759,,,,,,,,0|i16g7r:
Ivy,IVY-1162,ivy.settings.dir space escaping problem,Bug,Resolved,Major,Fixed,Maarten Coene,Geoff Reedy,Geoff Reedy,1/11/2010 20:28,,5/7/2010 20:13,1/12/2010 10:11,2.1.0,2.2.0-RC1,,,0,0,,,,,,,,,"When an ivysettings file is included from a path with spaces in it, the ivy.settings.dir property becomes doubly escaped. I run into this problem when trying to configure the ivy classpath. This is causing a lot of pain for our team members using windows since they want to keep everything under their home directory which includes spaces in the path due to the ""C:\Documents and Settings"" directory. I'll be attaching a testcase which throws an exception when ""java -jar ivy-2.1.0.jar -settings ivysettings.xml"" is called. The exception root cause is: 

Caused by: java.lang.RuntimeException: impossible to define new type: class not found: Foo in [file:/tmp/x/dir%2520with%2520spaces/foo.jar] nor Ivy classloader 
at org.apache.ivy.core.settings.IvySettings.classForName(IvySettings.java:648) 
at org.apache.ivy.core.settings.IvySettings.typeDef(IvySettings.java:632) 
at org.apache.ivy.core.settings.IvySettings.typeDef(IvySettings.java:628) 
at org.apache.ivy.core.settings.XmlSettingsParser.typedefStarted(XmlSettingsParser.java:503) 
at org.apache.ivy.core.settings.XmlSettingsParser.startElement(XmlSettingsParser.java:205) 
at com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser.startElement(AbstractSAXParser.java:504) 
at com.sun.org.apache.xerces.internal.parsers.AbstractXMLDocumentParser.emptyElement(AbstractXMLDocumentParser.java:182) 
at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanStartElement(XMLDocumentFragmentScannerImpl.java:1315) 
at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$FragmentContentDriver.next(XMLDocumentFragmentScannerImpl.java:2723) 
at com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl.next(XMLDocumentScannerImpl.java:624) 
at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanDocument(XMLDocumentFragmentScannerImpl.java:486) 
at com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(XML11Configuration.java:810) 
at com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(XML11Configuration.java:740) 
at com.sun.org.apache.xerces.internal.parsers.XMLParser.parse(XMLParser.java:110) 
at com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser.parse(AbstractSAXParser.java:1208) 
at com.sun.org.apache.xerces.internal.jaxp.SAXParserImpl$JAXPSAXParser.parse(SAXParserImpl.java:525) 
at javax.xml.parsers.SAXParser.parse(SAXParser.java:392) 
at javax.xml.parsers.SAXParser.parse(SAXParser.java:274) 
at org.apache.ivy.core.settings.XmlSettingsParser.doParse(XmlSettingsParser.java:160) 
... 23 more 
",,,,,,,,1/12/2010 10:11,,,,"7 years, 15 weeks, 5 days ago",,140769,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190827,,,,,,,,0|i0x167:
Ivy,IVY-1163,add ability to programmatically change default resolver,Improvement,Resolved,Minor,Fixed,Maarten Coene,Jason Trump,Jason Trump,1/23/2010 22:49,,5/7/2010 20:12,1/24/2010 14:15,2.1.0,2.2.0-RC1,Core,,0,1,,,,,,,,,"I would like the ability to change the default resolver programmatically. For example, from an Ant task. The API exists for this (IvySettings.setDefaultResolver), but it does not work reliably. The fix looks pretty easy. 

When you call IvySettings.setDefaultResolver, it changes the value of ""defaultResolverName"", of type String. However, it doesn't change the cache variable ""defaultResolver"". So if you've called IvySettings.getDefaultResolver once, it will always return the original value, even if you later try to change it with setDefaultResolver.",,,,,,,,1/24/2010 14:15,,,,"7 years, 25 weeks ago",,140770,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191951,,,,,,,,0|i0x83z:
Ivy,IVY-1164,ivy:buildnumber task ignores optional extra attributes,Bug,Open,Minor,Unresolved,Unassigned,Tyler Wall,Tyler Wall,1/25/2010 18:47,,1/25/2010 22:41,,2.1.0,,Ant,,1,2,,,,,,,IVY-1122,redhat linux,"An optional, extra attribute in the resolver pattern is ignored by the ivy:buildnumber task: 

/[organisation](/[somethingextra])/[module]/[revision]/[type]/[artifact].[ext] --> ignores somethingextra even if it exists 
/[organisation]/[somethingextra]/[module]/[revision]/[type]/[artifact].[ext] --> uses somethingextra and works correctly iff it exits 

Note: 

The Documentation does not specify the use of extra attributes in the ivy buildnumber task, however, it did work with non optional extra attributes and it did not complain about adding e:somethingextra as an argument. 

",,,,,,,,1/25/2010 22:41,,,,"7 years, 24 weeks, 6 days ago",,140771,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245758,,,,,,,,0|i16g7j:
Ivy,IVY-1165,During retreieve: Creation of symlinks problematic in Windows with Cygwin 1.7,Bug,Resolved,Major,Fixed,Maarten Coene,John Brandy,John Brandy,1/27/2010 21:59,,5/7/2010 20:13,2/3/2010 21:06,2.1.0-RC2,2.2.0-RC1,,,0,0,,,,,,,,"Windows 7 64 bit 
Cygwin 1.7 
Cygwin's bin directory on PATH","On Windows with the Cygwin 1.7 bin directory on the PATH, Ivy will create a ~1kb ""symlink"" file instead of copying the jar to the ivylib directory. This causes the retrieve process to fail. 


As described in [IVY-353|http://issues.apache.org/jira/browse/IVY-353], the creation of symlinks with cygwin was problematic for Windows systems. The fix as I understand it was to attempt to create a symlink, if that failed (the expected file did not exist) then copy the jar. That worked with the default configuration of Cygwin 1.5 which attempted to create Windows link (file.lnk) files. However as of 1.7 cygwin does not default to that behavior anymore and now Ivy fails in this case. 

For either version, if cygwin's environment option ""winsymlinks"" is turned to off -- which 1.7 defaults to -- then Ivy won't successfully retrieve due to thinking that the creation of a symlink was successful.",,,,,,,,2/2/2010 22:29,,,,"7 years, 23 weeks, 3 days ago",,140772,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190898,,,,,,,,0|i0x1lz:
Ivy,IVY-1166,ivy unable to increment revision correctly,Bug,Open,Blocker,Unresolved,Unassigned,Amir,Amir,2/2/2010 11:35,7/10/2017 11:57,2/3/2010 22:52,,"2.1.0-RC1, 2.1.0",,Ant,,0,1,,,,,,,,"client(s): windowsxp and linux 
server repository: linux","ivy unable to increment revision correctly 

when buildnumber and publish task finish it keeps publishing version 1.0.2 
using ivy 2.0.0 works fine. 

using : 

<target name=""publish.release"" depends=""client.deploy"" description=""Publishes a library to the corporate Ivy repository""> 
<!-- asks to ivy an available version number --> 

<!-- auto-increment the next release number --> 
<ivy:buildnumber 
organisation=""uk.co.company"" 
module=""AppWebServiceClient"" 
/> 
<echo message=""Ivy repository says that the current ivy.revision is : ${ivy.revision}"" /> 
<echo message=""Ivy repository says that the current ivy.new.revision is : ${ivy.new.revision}"" /> 
<echo message=""Ivy repository says that the current ivy.build.number is : ${ivy.build.number}"" /> 
<echo message=""Ivy repository says that the current ivy.new.build.number is : ${ivy.new.build.number}"" /> 

<ivy:publish 
settingsRef=""basic.settings"" 
artifactspattern=""${dist.dir}/[artifact].[ext]"" 
resolver=""vm-repository"" 
status=""release"" 
conf=""unversioned.jar"" 
forcedeliver=""true"" 
overwrite=""true"" 
pubrevision=""${ivy.new.revision}"" 
/> 
<echo message=""project ${ivy.module} released with version ${ivy.new.revision}"" /> 
</target> 



----------------------------------- 

Client ant output: 


publish.release: 
[ivy:buildnumber] DEPRECATED: 'ivy.conf.file' is deprecated, use 'ivy.settings.file' instead 
[ivy:buildnumber] :: loading settings :: file = C:\dev\eclipse.workspace\AppClient\ivy\ivysettings-basic.xml 
[echo] Ivy repository says that the current ivy.revision is : 1.0.1 
[echo] Ivy repository says that the current ivy.new.revision is : 1.0.2 
[echo] Ivy repository says that the current ivy.build.number is : 1 
[echo] Ivy repository says that the current ivy.new.build.number is : 2 
:: delivering :: uk.co.company#AppWebServiceClient;working@z953831w :: 1.0.2 :: release :: Mon Feb 01 17:16:03 GMT 2010 
delivering ivy file to C:\dev\eclipse.workspace\AppClient\dist\ivy.xml 
:: publishing :: uk.co.company#AppWebServiceClient 
published AppWebServiceClient to /opt/ivy-repository-2.1.0/myrepositoryNoDeps/no-namespace/uk.co.company/AppWebServiceClient//jars/AppWebServiceClient-1.0.2.jar 
published ivy to /opt/ivy-repository-2.1.0/myrepositoryNoDeps/no-namespace/uk.co.company/AppWebServiceClient//ivys/ivy-1.0.2.xml 
[echo] project AppWebServiceClient released with version 1.0.2 


########################################################",,,,,,,,2/2/2010 15:00,,,,"7 years, 23 weeks, 4 days ago",,89053,,,Restricted to agents,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,91271,,,,,,,,0|i0fz0n:
Ivy,IVY-1167,Using SFTP resolver with full pattern URL prevents use of dynamic versions,Bug,Resolved,Major,Fixed,Maarten Coene,Gregory Fernandez,Gregory Fernandez,2/7/2010 15:12,,5/7/2010 20:12,2/10/2010 22:36,2.1.0,2.2.0-RC1,Core,,0,1,,,,,,,,"Jsch 0.1.31 and 0.1.42. 
JDK 1.6+ 
ant 1.8RC1 
Linux Gentoo","Hello ! 

I'm using a sftp repository. Let's say there is a module called foo, revsions 1.2.3 and 1.2.4 are present. 

I add : <dependency org=""org.my"" name=""foo"" rev=""1.2.*+*""/> 

Resolve is unsucessful if I declare my repository as an full URL : 
{code:xml} 
<resolvers> 
<sftp name=""public"" user=""rep.user"" userPassword=""rep.password"" > 
<ivy pattern=""sftp://rep.host/home/ivy/repository/[organisation]/[module]/[revision]/ivys/ivy.xml""/> 
<artifact pattern=""sftp://rep.host/home/ivy/repository/[organisation]/[module]/[revision]/[type]s/[artifact].[ext]""/> 
</sftp> 
</resolvers> 
{code} 


But everything works if I declare my repository using attributes : 
{code:xml} 
<resolvers> 
<sftp name=""public"" host=""rep.host"" user=""rep.user"" userPassword=""rep.password"" > 
<ivy pattern=""/home/ivy/repository/[organisation]/[module]/[revision]/ivys/ivy.xml""/> 
<artifact pattern=""/home/ivy/repository/[organisation]/[module]/[revision]/[type]s/[artifact].[ext]""/> 
</sftp> 
</resolvers> 
{code} 

In fact, the list method use the pattern as a path, and don't remove the *sftp://<host>* .",,,,,,,,2/10/2010 22:36,,,,"7 years, 22 weeks, 4 days ago",,140773,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191521,,,,,,,,0|i0x5gf:
Ivy,IVY-1168,Authentication won't work in some situations,Bug,Resolved,Minor,Fixed,Maarten Coene,Sven Walter,Sven Walter,2/8/2010 21:45,,5/7/2010 20:13,2/22/2010 22:42,2.1.0,2.2.0-RC1,Core,,0,0,,,,,,,,,"Hi, 
Regarding a requirement to publish an artifact (Hudson -> ivy (v.2.1.0)) only after a successful authentication against Archiva and LDAP I tried to realize it with the tag ""credential"" which is part of the ivysettings.xml. Unfortunately, it was quite hard to get this finally done. Different forum discussions did not provide enough help to solve my problems. After investigation and debugging of the ivy code I found the following issues/problems: 

1. IvyAuthenticator was sometimes not the default: 
We have a very complex build process which includes some sub-ant calls. This leads to the problem that the default Authenticator will be changed to the java default or at least not the IvyAuthenticator. To ensure that the right one will be used I changed the BasicURLHandler and set the default before establishing the connection and publishing or retrieving an artifact. 

... 
public void upload(...) { ... Authenticator.setDefault(IvyAuthenticator.INSTANCE); ... } 
... 


2. Unexpected realm information 
By using the HttpClient the realm won't be considered. We have different repositories in our Archiva (and only one host). The implementation adds the credential twice (key=realm@host and key=host). The last one will win because the HttpClient does not get the realm information. I think a better approach in this situation is to authenticate without the realm (HttpClientHandler.java). The current implementation works only if you have one repository or the last defined credential is always the right one. 

... 
new AuthScope(c.getHost(), AuthScope.ANY_PORT, AuthScope.ANY_REALM) ... 
... 

3. The mystery of the realm 
The documentation is not very clear about the realm. It is hard to find out what the right realm is. To get a better overview I extend the class CredentialsStore with additional logging information to get more light into the dark. 

... 
public Credentials getCredentials(...) { Message.debug(""try to get credentials for: "" + realm + ""@"" + host); ... } 
... 

I build a new ivy.jar including all of my changes and now, it works. To avoid further costs in the future (by upgrading ivy) and supporting ivy I want to incorporate my changes into one of the next ivy releases. Is this possible or in general what do you think about the changes? 

Best regards, 
Sven Walter 
",,,,,,,,2/10/2010 22:23,,,,"7 years, 17 weeks, 6 days ago",,140774,,,Restricted to agents,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191798,,,,,,,,0|i0x75z:
Ivy,IVY-1169,parent.groupId is not resolved in maven 2 parser,Bug,Resolved,Major,Fixed,Maarten Coene,Achim H.,Achim H.,2/9/2010 10:12,,5/7/2010 20:13,2/10/2010 22:04,2.1.0,2.2.0-RC1,Maven Compatibility,,0,0,,,,,,,IVY-1188,,"A reference to the groupId of the parent module is not resolved correctly. 

Example (from http://www.fornax-platform.org/archiva/repository/releases/org/openarchitectureware/oaw-core-expressions/4.3.1/oaw-core-expressions-4.3.1.pom): 
<project> 
... 
<groupId>${parent.groupId}</groupId> 
<version>1.0</version> 

This breaks the build 


",,,,,,,,2/10/2010 22:04,,,,"7 years, 22 weeks, 4 days ago",,140775,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190851,,,,,,,,0|i0x1bj:
Ivy,IVY-1170,LatestVersionMatcher.needModuleDescriptor() does not honor custom statuses,Bug,Resolved,Major,Fixed,Maarten Coene,Carl Quinn,Carl Quinn,2/10/2010 21:56,,5/31/2010 21:00,5/31/2010 21:00,2.1.0,2.2.0-RC1,Core,,0,1,,,,,,,,,"While tracking down some unexpected behavior in our Ivy-based build system, I ran across what looks like a bug in LatestVersionMatcher.needModuleDescriptor(). In that method, it has a hard-coded check for ""latest.integration"" to determine when to not require a module descriptor and just grab the newest thing. 

public boolean needModuleDescriptor(ModuleRevisionId askedMrid, ModuleRevisionId foundMrid) { 
return !""latest.integration"".equals(askedMrid.getRevision()); 
} 

In our case, we have redefined our status to be the maven-like names: 

<statuses default=""snapshot""> 
<status name=""release"" integration=""false""/> 
<status name=""snapshot"" integration=""true""/> 
</statuses> 

Where in our case ""snapshot"" replaces ""integration"". And this LatestVersionMatcher then fails to allow ""latest.snapshot"" to grab artifacts w/o module descriptors. (all those old jars that I haven't Ivy-fied yet :) 

I will work on developing a patch. 
",,,,,,,,5/29/2010 16:59,,,,"7 years, 6 weeks, 6 days ago",,140776,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191524,,,,,,,,0|i0x5h3:
Ivy,IVY-1171,Cannot publish wildcard configurations other than *,Bug,Resolved,Major,Fixed,Matt Benson,Matt Benson,Matt Benson,2/12/2010 21:10,,5/7/2010 20:12,2/12/2010 21:17,2.1.0,2.2.0-RC1,Core,,0,0,,,,,,,,,"PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions) should replace conf wildcards rather than just processing * explicitly.",,,,,,,,2/14/2010 21:57,,,,"7 years, 22 weeks ago",,140777,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190906,,,,,,,,0|i0x1nr:
Ivy,IVY-1172,Grammatical and typographic errors in documentation,Bug,Resolved,Major,Fixed,Maarten Coene,J. Lewis Muir,J. Lewis Muir,2/19/2010 23:18,,5/7/2010 20:12,2/20/2010 21:39,2.1.0,2.2.0-RC1,Documentation,,0,0,,,,,,,,,"Thank you for all the effort to write the documentation. Attached is a patch against {{https://svn.apache.org/repos/asf/ant/ivy/core/trunk/doc}} to fix grammatical and typographic errors in the documentation to make it better. I didn't have time to go through all of the documentation, but this fixes some of it.",,,,,,,,2/20/2010 21:39,,,,"7 years, 21 weeks, 1 day ago",,140778,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190902,,,,,,,,0|i0x1mv:
Ivy,IVY-1173,relativePath to parent ignored in pom.xml file,Bug,Open,Minor,Unresolved,Unassigned,Robin Green,Robin Green,2/28/2010 10:20,,2/28/2010 10:20,,2.1.0,,Maven Compatibility,,1,3,,,,,,,,,"{{PomModuleDescriptorParser}} ignores the {{relativePath}} element, e.g. in 

<parent> 
<groupId>org.apache.felix</groupId> 
<artifactId>felix-parent</artifactId> 
<version>1.2.0</version> 
<relativePath>../pom/pom.xml</relativePath> 
</parent> 

so if the {{parent}} cannot be downloaded from a repository, the parent {{pom.xml}} is ignored and an {{IOException}} is thrown. 

Here is the relevant code: 

ModuleDescriptor parentDescr = null; 
if (domReader.hasParent()) { 
//Is there any other parent properties? 

ModuleRevisionId parentModRevID = ModuleRevisionId.newInstance( 
domReader.getParentGroupId(), 
domReader.getParentArtifactId(), 
domReader.getParentVersion()); 
ResolvedModuleRevision parentModule = parseOtherPom(ivySettings, 
parentModRevID); 
if (parentModule != null) { 
parentDescr = parentModule.getDescriptor(); 
} else { 
throw new IOException(""Impossible to load parent for "" + descriptorURL + ""."" 
+ "" Parent="" + parentModRevID); 
} 
...",,,,,,,,,,,,"7 years, 20 weeks, 1 day ago",,140779,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245757,,,,,,,,0|i16g7b:
Ivy,IVY-1174,resolved module can include configurations of evicted versions,Bug,Open,Major,Unresolved,Unassigned,Willem Verstraeten,Willem Verstraeten,3/2/2010 16:20,,7/1/2012 22:41,,2.1.0-RC2,,Core,,1,2,,,,,,,IVY-1231,,"Scenario: 

module_parent, with two revisions: 
1.0, which has configurations default and runtime, where default extends runtime 
1.0.3, which only has configuration default 

module_middle, which depends on module_parent:1.0 
module_between, which depends on module_parent:1.0.3 

module_entry, which depends on module_middle and module_between 

When resolving module_entry, version 1.0 of module_parent will be evicted, but ivy will complain about module_parent not having a runtime configuration. Apparently, ivy has mashed the configurations from the 1.0 version (which was evicted) with those of 1.0.3, where there actually is no runtime configuration.",,,,,,,testcase,3/4/2010 22:22,,,,"6 years, 1 week, 4 days ago",,68963,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245756,,,,,,,,0|i16g73:
Ivy,IVY-1175,ApacheURLLister does not allow directories not containing a dot,Bug,Resolved,Minor,Fixed,Maarten Coene,Anders Jacobsson,Anders Jacobsson,3/10/2010 12:22,,5/7/2010 20:13,3/14/2010 22:56,2.3.0-RC1,2.2.0-RC1,Core,,0,0,,,,,,,,,"I need to use a different revision scheme that looks like R1A01, i.e. not the normal scheme x.y.z, for my company internal dependencies. When doing this, I discovered that ApacheURLLister does not handle directories without a dot (.) properly as it filters those out. If it does not find a dot in the directory name, it compares the href with the text but forgets to check for a trailing slash in href.",,,,,,,,3/10/2010 21:45,,,,"7 years, 17 weeks, 6 days ago",,140780,,,Restricted to agents,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191783,,,,,,,,0|i0x72n:
Ivy,IVY-1176,Problem with resolve (ivy.deps.changed) and timestamp of ivy.xml of dependencies,Bug,Open,Blocker,Unresolved,Unassigned,subes,subes,3/12/2010 10:11,,8/15/2012 0:54,,2.1.0,,Core,,2,3,,,,,,,,,"Hi, 

I am having the same Issue as Jan Vissers on the mailing list: 
http://mail-archives.apache.org/mod_mbox/ant-ivy-user/200803.mbox/%3C10985.145.53.56.90.1204817182.squirrel@webmail.xs4all.nl%3E 
http://mail-archives.apache.org/mod_mbox/ant-ivy-user/200803.mbox/%3C47D11E2A.1050704@cumquat.nl%3E 

The problem is, ivy.deps.changed does not get set to true if the timestamp of the dependencies ivy.xml got updated. 
The call to resolve actually tells me that the new files got downloaded (because of the updated timestamp), but ivy.deps.changed tells me that the artifacts did not change. 

[ivy:resolve] --------------------------------------------------------------------- 
[ivy:resolve] | | modules || artifacts | 
[ivy:resolve] | conf | number| search|dwnlded|evicted|| number|dwnlded| 
[ivy:resolve] --------------------------------------------------------------------- 
[ivy:resolve] | default | 26 | 1 | 1 | 0 || 26 | 1 | 
[ivy:resolve] | tests | 3 | 1 | 1 | 0 || 3 | 1 | 
[ivy:resolve] | sources | 10 | 1 | 1 | 0 || 10 | 1 | 
[ivy:resolve] --------------------------------------------------------------------- 
--> ivy.deps.changed is ""false"" 

This behaviour makes ivy.deps.changed mostly useless for me to implement a lazy build mechanism in a multi module project.",,,,,,,,1/18/2012 6:18,,,,"5 years, 25 weeks, 5 days ago",,89054,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245755,,,,,,,,0|i16g6v:
Ivy,IVY-1177,Can't deal with [VERSION] version pattern from Maven,Bug,Resolved,Major,Fixed,Maarten Coene,Richard Vowles,Richard Vowles,3/22/2010 2:52,,5/7/2010 20:13,3/22/2010 21:26,2.1.0,2.2.0-RC1,,,0,0,,,,,,,,Windows XP and Mac OS,"If you want a specific version of a resource in Maven, [VERSION] is a valid request - e.g. [1.5.8] 

I am using grape (from Groovy) and 

grape -d install org.slf4j slf4j-api [1.5.8] 

will not work. These dependencies are all over the place in our maven repo (and presumably others). I fixed it by adding to ModuleRevisionId.java 

protected static String normalizeRevision(String asked) { 
if ( asked.startsWith( ""["" ) && asked.endsWith( ""]"" ) && asked.indexOf(',') == -1 ) { 
return asked.substring(1, asked.length() - 1 ); 
} else 
return asked; 
} 

and using it in the constructor: 

this.revision = revision == null ? Ivy.getWorkingRevision() : normalizeRevision(revision);",,,,,,,,3/22/2010 21:26,,,,"7 years, 16 weeks, 6 days ago",,140781,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190909,,,,,,,,0|i0x1of:
Ivy,IVY-1178,Transitive dependencies resolutions issue when eviction is triggered,Bug,Closed,Major,Fixed,Maarten Coene,david herviou,david herviou,3/25/2010 8:54,,5/7/2010 20:12,3/30/2010 20:03,2.1.0,2.2.0-RC1,Core,,0,1,,,,,,,,Linux / ant 1.7.0,"Originally described in ivy-user list : http://old.nabble.com/Transitive-resolving-issue---td27984462.html 
Here just a part of the discussion that explain the problem and the temporary work around : 
Consider the following use case : 

moduleA has one of its dependencies like this : 
<dependency org=""log4j"" name=""log4j"" rev=""1.2.14"" transitive=""false""/> 
moduleB has one of its dependencies like this : 
<dependency org=""log4j"" name=""log4j"" rev=""1.2.15"" transitive=""false""/> 

While moduleC use moduleA and moduleB I have something like this : 
<dependency org=""moduleA.org"" name=""moduleA"" rev=""moduleA.rev""/> 
<dependency org=""moduleB.org"" name=""moduleB"" rev=""moduleB.rev""/> 

This seems to be very banal BUT, when running the ivy:resolve task the 
log4j-1.2.15 evicts the log4j-1.2.14 which seems to be a good thing! 
but thereafter the resolve task does not consider the transitivity has false 
and try to resolve all the dependencies of log4j-1.2.15 

If I remove moduleA.org and use only moduleB.org then the resolve task 
behave correctly (I mean there is no resolution of transitives 
dependencies). 
The reverse case is also true. 

A work-around is available by resolving conflict explicitly with something like : 
<conflict org=""moduleA.org"" module=""moduleA"" rev=""moduleA.rev""/> 
",,,,,,,dependency,3/25/2010 22:39,,,,"7 years, 13 weeks, 6 days ago",,140782,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192919,,,,,,,,0|i0xe33:
